Name,Species,Type,Gender,Origin,Status,location,Image,Character URL
Bearded Lady,Alien,Parasite,Female,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/32.jpeg,https://rickandmortyapi.com/api/character/32
Beebo,Alien,,Male,"{'name': 'Venzenulon 7', 'url': 'https://rickandmortyapi.com/api/location/10'}",Dead,"{'name': 'Venzenulon 7', 'url': 'https://rickandmortyapi.com/api/location/10'}",https://rickandmortyapi.com/api/character/avatar/33.jpeg,https://rickandmortyapi.com/api/character/33
Benjamin,Poopybutthole,,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Interdimensional Cable', 'url': 'https://rickandmortyapi.com/api/location/6'}",https://rickandmortyapi.com/api/character/avatar/34.jpeg,https://rickandmortyapi.com/api/character/34
Bepisian,Alien,Bepisian,unknown,"{'name': 'Bepis 9', 'url': 'https://rickandmortyapi.com/api/location/11'}",Alive,"{'name': 'Bepis 9', 'url': 'https://rickandmortyapi.com/api/location/11'}",https://rickandmortyapi.com/api/character/avatar/35.jpeg,https://rickandmortyapi.com/api/character/35
Beta-Seven,Alien,Hivemind,unknown,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'unknown', 'url': ''}",https://rickandmortyapi.com/api/character/avatar/36.jpeg,https://rickandmortyapi.com/api/character/36
Beth Sanchez,Human,,Female,"{'name': 'Earth (C-500A)', 'url': 'https://rickandmortyapi.com/api/location/23'}",Alive,"{'name': 'Earth (C-500A)', 'url': 'https://rickandmortyapi.com/api/location/23'}",https://rickandmortyapi.com/api/character/avatar/37.jpeg,https://rickandmortyapi.com/api/character/37
Beth's Mytholog,Mytholog,,Female,"{'name': 'Nuptia 4', 'url': 'https://rickandmortyapi.com/api/location/13'}",Dead,"{'name': 'Nuptia 4', 'url': 'https://rickandmortyapi.com/api/location/13'}",https://rickandmortyapi.com/api/character/avatar/40.jpeg,https://rickandmortyapi.com/api/character/40
Big Boobed Waitress,Humanoid,,Female,"{'name': 'Fantasy World', 'url': 'https://rickandmortyapi.com/api/location/48'}",Alive,"{'name': 'Fantasy World', 'url': 'https://rickandmortyapi.com/api/location/48'}",https://rickandmortyapi.com/api/character/avatar/41.jpeg,https://rickandmortyapi.com/api/character/41
Big Head Morty,Human,Human with giant head,Male,"{'name': 'unknown', 'url': ''}",unknown,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/42.jpeg,https://rickandmortyapi.com/api/character/42
Big Morty,Human,,Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/43.jpeg,https://rickandmortyapi.com/api/character/43
Body Guard Morty,Human,,Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/44.jpeg,https://rickandmortyapi.com/api/character/44
Bill,Animal,Dog,Male,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",unknown,"{'name': 'unknown', 'url': ''}",https://rickandmortyapi.com/api/character/avatar/46.jpeg,https://rickandmortyapi.com/api/character/46
Birdperson,Alien,Bird-Person,Male,"{'name': 'Bird World', 'url': 'https://rickandmortyapi.com/api/location/15'}",Dead,"{'name': 'Planet Squanch', 'url': 'https://rickandmortyapi.com/api/location/35'}",https://rickandmortyapi.com/api/character/avatar/47.jpeg,https://rickandmortyapi.com/api/character/47
Black Rick,Human,,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/48.jpeg,https://rickandmortyapi.com/api/character/48
Blamph,Alien,,unknown,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Interdimensional Cable', 'url': 'https://rickandmortyapi.com/api/location/6'}",https://rickandmortyapi.com/api/character/avatar/49.jpeg,https://rickandmortyapi.com/api/character/49
Blim Blam,Alien,Korblock,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/50.jpeg,https://rickandmortyapi.com/api/character/50
Blue Diplomat,Alien,,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Interdimensional Cable', 'url': 'https://rickandmortyapi.com/api/location/6'}",https://rickandmortyapi.com/api/character/avatar/51.jpeg,https://rickandmortyapi.com/api/character/51
Blue Footprint Guy,Human,,Male,"{'name': 'Post-Apocalyptic Earth', 'url': 'https://rickandmortyapi.com/api/location/8'}",Dead,"{'name': 'Post-Apocalyptic Earth', 'url': 'https://rickandmortyapi.com/api/location/8'}",https://rickandmortyapi.com/api/character/avatar/52.jpeg,https://rickandmortyapi.com/api/character/52
Blue Shirt Morty,Human,,Male,"{'name': 'unknown', 'url': ''}",unknown,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/53.jpeg,https://rickandmortyapi.com/api/character/53
Bobby Moynihan,Human,,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Interdimensional Cable', 'url': 'https://rickandmortyapi.com/api/location/6'}",https://rickandmortyapi.com/api/character/avatar/54.jpeg,https://rickandmortyapi.com/api/character/54
Boobloosian,Alien,Boobloosian,unknown,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Nuptia 4', 'url': 'https://rickandmortyapi.com/api/location/13'}",https://rickandmortyapi.com/api/character/avatar/55.jpeg,https://rickandmortyapi.com/api/character/55
Bootleg Portal Chemist Rick,Human,,Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/56.jpeg,https://rickandmortyapi.com/api/character/56
Borpocian,Alien,Elephant-Person,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'unknown', 'url': ''}",https://rickandmortyapi.com/api/character/avatar/57.jpeg,https://rickandmortyapi.com/api/character/57
Brad,Human,,Male,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",Alive,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/58.jpeg,https://rickandmortyapi.com/api/character/58
Brad Anderson,Human,,Male,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",Dead,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/59.jpeg,https://rickandmortyapi.com/api/character/59
Calypso,Human,Superhuman,Female,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'unknown', 'url': ''}",https://rickandmortyapi.com/api/character/avatar/60.jpeg,https://rickandmortyapi.com/api/character/60
Campaign Manager Morty,Human,,Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/61.jpeg,https://rickandmortyapi.com/api/character/61
Canklanker Thom,Alien,Gromflomite,Male,"{'name': 'Gromflom Prime', 'url': 'https://rickandmortyapi.com/api/location/19'}",Dead,"{'name': 'unknown', 'url': ''}",https://rickandmortyapi.com/api/character/avatar/62.jpeg,https://rickandmortyapi.com/api/character/62
Centaur,Humanoid,Centaur,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': ""Mr. Goldenfold's dream"", 'url': 'https://rickandmortyapi.com/api/location/18'}",https://rickandmortyapi.com/api/character/avatar/63.jpeg,https://rickandmortyapi.com/api/character/63
Chris,Humanoid,Microverse inhabitant,Male,"{'name': ""Rick's Battery Microverse"", 'url': 'https://rickandmortyapi.com/api/location/24'}",Alive,"{'name': ""Rick's Battery Microverse"", 'url': 'https://rickandmortyapi.com/api/location/24'}",https://rickandmortyapi.com/api/character/avatar/65.jpeg,https://rickandmortyapi.com/api/character/65
Coach Feratu (Balik Alistane),Vampire,,Male,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",Dead,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/66.jpeg,https://rickandmortyapi.com/api/character/66
Collector,Alien,Light bulb-Alien,Male,"{'name': 'The Menagerie', 'url': 'https://rickandmortyapi.com/api/location/25'}",Alive,"{'name': 'The Menagerie', 'url': 'https://rickandmortyapi.com/api/location/25'}",https://rickandmortyapi.com/api/character/avatar/67.jpeg,https://rickandmortyapi.com/api/character/67
Colossus,Human,,Male,"{'name': 'Post-Apocalyptic Earth', 'url': 'https://rickandmortyapi.com/api/location/8'}",Dead,"{'name': 'Post-Apocalyptic Earth', 'url': 'https://rickandmortyapi.com/api/location/8'}",https://rickandmortyapi.com/api/character/avatar/68.jpeg,https://rickandmortyapi.com/api/character/68
Commander Rick,Human,,Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/69.jpeg,https://rickandmortyapi.com/api/character/69
Concerto,Humanoid,,Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'unknown', 'url': ''}",https://rickandmortyapi.com/api/character/avatar/70.jpeg,https://rickandmortyapi.com/api/character/70
Conroy,Robot,,unknown,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",Dead,"{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}",https://rickandmortyapi.com/api/character/avatar/71.jpeg,https://rickandmortyapi.com/api/character/71
Cool Rick,Human,,Male,"{'name': 'Earth (K-83)', 'url': 'https://rickandmortyapi.com/api/location/26'}",Alive,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/72.jpeg,https://rickandmortyapi.com/api/character/72
Cop Morty,Human,,Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/73.jpeg,https://rickandmortyapi.com/api/character/73
Cop Rick,Human,,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/74.jpeg,https://rickandmortyapi.com/api/character/74
Courier Flap,Alien,,unknown,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Planet Squanch', 'url': 'https://rickandmortyapi.com/api/location/35'}",https://rickandmortyapi.com/api/character/avatar/75.jpeg,https://rickandmortyapi.com/api/character/75
Cousin Nicky,Alien,Parasite,Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/76.jpeg,https://rickandmortyapi.com/api/character/76
Cowboy Morty,Human,,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/77.jpeg,https://rickandmortyapi.com/api/character/77
Cowboy Rick,Human,,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/78.jpeg,https://rickandmortyapi.com/api/character/78
Crab Spider,Alien,Animal,unknown,"{'name': 'Hideout Planet', 'url': 'https://rickandmortyapi.com/api/location/27'}",Alive,"{'name': 'Hideout Planet', 'url': 'https://rickandmortyapi.com/api/location/27'}",https://rickandmortyapi.com/api/character/avatar/79.jpeg,https://rickandmortyapi.com/api/character/79
Creepy Little Girl,Human,,Female,"{'name': 'unknown', 'url': ''}",Alive,"{'name': ""Mr. Goldenfold's dream"", 'url': 'https://rickandmortyapi.com/api/location/18'}",https://rickandmortyapi.com/api/character/avatar/80.jpeg,https://rickandmortyapi.com/api/character/80
Crocubot,Humanoid,Robot-Crocodile hybrid,Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': ""Worldender's lair"", 'url': 'https://rickandmortyapi.com/api/location/4'}",https://rickandmortyapi.com/api/character/avatar/81.jpeg,https://rickandmortyapi.com/api/character/81
Cronenberg Rick,Cronenberg,,Male,"{'name': 'Cronenberg Earth', 'url': 'https://rickandmortyapi.com/api/location/12'}",unknown,"{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}",https://rickandmortyapi.com/api/character/avatar/82.jpeg,https://rickandmortyapi.com/api/character/82
Cronenberg Morty,Cronenberg,,Male,"{'name': 'Cronenberg Earth', 'url': 'https://rickandmortyapi.com/api/location/12'}",unknown,"{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}",https://rickandmortyapi.com/api/character/avatar/83.jpeg,https://rickandmortyapi.com/api/character/83
Cult Leader Morty,Human,,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Hideout Planet', 'url': 'https://rickandmortyapi.com/api/location/27'}",https://rickandmortyapi.com/api/character/avatar/84.jpeg,https://rickandmortyapi.com/api/character/84
Cyclops Morty,Humanoid,,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/85.jpeg,https://rickandmortyapi.com/api/character/85
Cyclops Rick,Humanoid,,Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/86.jpeg,https://rickandmortyapi.com/api/character/86
Cynthia,Human,,Female,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",Alive,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/88.jpeg,https://rickandmortyapi.com/api/character/88
Dale,Humanoid,Giant,Male,"{'name': ""Giant's Town"", 'url': 'https://rickandmortyapi.com/api/location/14'}",Dead,"{'name': ""Giant's Town"", 'url': 'https://rickandmortyapi.com/api/location/14'}",https://rickandmortyapi.com/api/character/avatar/89.jpeg,https://rickandmortyapi.com/api/character/89
Daron Jefferson,Alien,Cone-nippled alien,Male,"{'name': ""Unity's Planet"", 'url': 'https://rickandmortyapi.com/api/location/28'}",Alive,"{'name': ""Unity's Planet"", 'url': 'https://rickandmortyapi.com/api/location/28'}",https://rickandmortyapi.com/api/character/avatar/90.jpeg,https://rickandmortyapi.com/api/character/90
David Letterman,Human,,Male,"{'name': 'Earth (C-500A)', 'url': 'https://rickandmortyapi.com/api/location/23'}",Alive,"{'name': 'Earth (C-500A)', 'url': 'https://rickandmortyapi.com/api/location/23'}",https://rickandmortyapi.com/api/character/avatar/91.jpeg,https://rickandmortyapi.com/api/character/91
Davin,Cronenberg,,Male,"{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}",Dead,"{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}",https://rickandmortyapi.com/api/character/avatar/394.jpeg,https://rickandmortyapi.com/api/character/394
Diablo Verde,Humanoid,Demon,Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Dorian 5', 'url': 'https://rickandmortyapi.com/api/location/29'}",https://rickandmortyapi.com/api/character/avatar/93.jpeg,https://rickandmortyapi.com/api/character/93
Diane Sanchez,Human,,Female,"{'name': 'Earth (Unknown dimension)', 'url': 'https://rickandmortyapi.com/api/location/30'}",unknown,"{'name': 'Earth (Unknown dimension)', 'url': 'https://rickandmortyapi.com/api/location/30'}",https://rickandmortyapi.com/api/character/avatar/94.jpeg,https://rickandmortyapi.com/api/character/94
Dipper and Mabel Mortys,Human,,unknown,"{'name': 'unknown', 'url': ''}",unknown,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/95.jpeg,https://rickandmortyapi.com/api/character/95
Tuberculosis,Disease,,unknown,"{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",Dead,"{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",https://rickandmortyapi.com/api/character/avatar/96.jpeg,https://rickandmortyapi.com/api/character/96
Gonorrhea,Disease,,unknown,"{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",Dead,"{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",https://rickandmortyapi.com/api/character/avatar/97.jpeg,https://rickandmortyapi.com/api/character/97
Hepatitis A,Disease,,unknown,"{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",Dead,"{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",https://rickandmortyapi.com/api/character/avatar/98.jpeg,https://rickandmortyapi.com/api/character/98
Hepatitis C,Disease,,unknown,"{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",Dead,"{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",https://rickandmortyapi.com/api/character/avatar/99.jpeg,https://rickandmortyapi.com/api/character/99
Bubonic Plague,Disease,,unknown,"{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",Dead,"{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",https://rickandmortyapi.com/api/character/avatar/100.jpeg,https://rickandmortyapi.com/api/character/100
E. Coli,Disease,,unknown,"{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",Dead,"{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",https://rickandmortyapi.com/api/character/avatar/101.jpeg,https://rickandmortyapi.com/api/character/101
Donna Gueterman,Robot,,Female,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Planet Squanch', 'url': 'https://rickandmortyapi.com/api/location/35'}",https://rickandmortyapi.com/api/character/avatar/102.jpeg,https://rickandmortyapi.com/api/character/102
